layers,units,lr,w,avg_recall,avg_f1,avg_fpr
2,8,0.001,15,0.975129077681183,0.850919706015534,0.24520278804688936
2,8,0.005,15,0.9700423547223977,0.8496950429780916,0.2321216186584291
2,16,0.001,15,0.9790035689693839,0.8669428137592317,0.2220066589340593
2,16,0.005,15,0.9787230940242573,0.8715105407147747,0.22032185780895483
3,8,0.001,15,0.9774041041182533,0.8662006226708915,0.2253534445561521
3,8,0.005,15,0.9601921278034334,0.8542048208893384,0.22294674983018004
3,16,0.001,15,0.9816573328980169,0.8718550036374119,0.22211302407084493
3,16,0.005,15,0.9830368081146302,0.867781996753674,0.225044565158763
1,8,0.001,16,0.9369324261460538,0.8440589164088477,0.2254277811422619
1,8,0.005,16,0.9330176148532379,0.8452112372673346,0.22242177365152033
1,16,0.001,16,0.9326404253814722,0.8352997033128935,0.24287129351205178
1,16,0.005,16,0.9519318083520938,0.8487595709653967,0.22946787895290516
2,8,0.001,16,0.9506785165435764,0.8433362876655822,0.24280568851719617
2,8,0.005,16,0.9273116712353688,0.8367338525400898,0.23303124009926934
2,16,0.001,16,0.9572779493003555,0.8573179350180723,0.22395379160026835
2,16,0.005,16,0.9714026260979043,0.8747851146299286,0.2158897745475218
3,8,0.001,16,0.9662687555286116,0.8588651148966076,0.22400577975015185
3,8,0.005,16,0.9534736562349193,0.8421534929963705,0.24395751319071665
3,16,0.001,16,0.9744156210326785,0.8709927249191353,0.2177342433967063
3,16,0.005,16,0.9825255285265989,0.8783845602164154,0.2166696178961641
1,8,0.001,17,0.9188779585114194,0.8232859982111439,0.2443678453870845
1,8,0.005,17,0.9377935269487722,0.8370677480030979,0.24005134455407445
1,16,0.001,17,0.9269683111355022,0.8450240542979912,0.22239295785772367
1,16,0.005,17,0.9564062648320778,0.8510240176337079,0.2264600036694248
2,8,0.001,17,0.9581725198276476,0.8621603427822698,0.21827603921915034
2,8,0.005,17,0.9786428420646758,0.8600637822970508,0.2281432089944316
2,16,0.001,17,0.9717649258079752,0.8673134869224496,0.22151006141454038
2,16,0.005,17,0.9945152864163254,0.8801148468936623,0.2223910221218875
3,8,0.001,17,0.9877355330661846,0.8745780722969455,0.2221136123269453
3,8,0.005,17,0.9764170777013831,0.856708047403071,0.22967105177658115
3,16,0.001,17,0.976551198979263,0.87419557258691,0.21870774865701853
3,16,0.005,17,0.9793307787038883,0.8737121637158805,0.22100595615745874
1,8,0.001,18,0.9310364500460182,0.8200345814584796,0.2369469579645299
1,8,0.005,18,0.9561534262285264,0.8279287622363836,0.2531566823064721
1,16,0.001,18,0.9355398598304051,0.8194026565305341,0.25153074572654865
1,16,0.005,18,0.972991829368316,0.8610485692376489,0.22419656535334287
2,8,0.001,18,0.9589841270719874,0.85849918472117,0.22209006441068552
2,8,0.005,18,0.9541270659131605,0.8564052563233776,0.21770521899279002
2,16,0.001,18,0.9830949554537911,0.8720058737633718,0.2215690080330015
2,16,0.005,18,0.9718233347533097,0.8767337066669881,0.21363935153248553
3,8,0.001,18,0.9836074226511862,0.8678607828443183,0.2282074608743283
3,8,0.005,18,0.9867285123026326,0.8725191294608112,0.22396418915755448
3,16,0.001,18,0.9820828670919328,0.8789333905435031,0.21819276056904635
3,16,0.005,18,0.9717549240896389,0.8727073754974384,0.21952127652704795
1,8,0.001,19,0.9201891499955297,0.7990500919003447,0.25917812633616644
1,8,0.005,19,0.9448498109062193,0.8454889159206589,0.2261865076626708
1,16,0.001,19,0.9568383528059968,0.8535571607246503,0.22672312211808698
1,16,0.005,19,0.9338567931356845,0.8402938327706211,0.22855172804507787
2,8,0.001,19,0.9884315826205802,0.8661022770635363,0.22680384010694174
2,8,0.005,19,0.9747856115928926,0.8651637700692081,0.22534382685471055
2,16,0.001,19,0.9796367668077173,0.872260585260182,0.22264494080564212
2,16,0.005,19,0.9662273927846737,0.8700290109035954,0.21847509247855695
3,8,0.001,19,0.9828144908554712,0.8657529574711734,0.22586380934245714
3,8,0.005,19,0.9811303403578527,0.866411002029382,0.22580546199075185
3,16,0.001,19,0.9803705016274007,0.8723361643151545,0.21935123132071205
3,16,0.005,19,0.986437790753827,0.873775061126463,0.22188105322231752
1,8,0.001,20,0.9412475647347641,0.8542118274316598,0.21782345652784946
1,8,0.005,20,0.9508561356549896,0.8329786549514224,0.24568478058905524
